pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,candidate2_5,office3,candidate3_1,candidate3_2,candidate3_3,candidate3_4,candidate3_5,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2
ROWAN-20181106-Style041-WEST_WARD_2-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROWAN-20181106-Style041-WEST_WARD_2-GEN.pdf,NC Superior Court Judge District 19C Seat 1,Anna Mills Wagoner,,,,,NC District Court Judge District 19C Seat 1,Kevin Eddinger,,,,,NC District Court Judge District 19C Seat 2,Beth Dixon,,,,,NC District Court Judge District 19C Seat 3,Charlie Brown,,NC District Court Judge District 19C Seat 4,James Randolph,,,,,,,,,,,,,
NASH-20181106-Style023-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/NASH-20181106-Style023-GEN.pdf,NC Superior Court Judge District 7A Seat 1,Quentin T. Sumner,,,,,NC District Court Judge District 7 Seat 1,Pell Cooper,,,,,NC District Court Judge District 7 Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,
YANCEY-20181106-Style002-CANE_RIVER-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/YANCEY-20181106-Style002-CANE_RIVER-GEN.pdf,NC Superior Court Judge District 24 Seat 1,Gary Gavenus,,,,,NC District Court Judge District 24 Seat 1,Larry Leake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITT-20181106-Style029-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/PITT-20181106-Style029-GEN.pdf,NC District Court Judge District 3A Seat 1,Mario E. Perez,Jarrette Pittman,Daniel Hines Entzminger,,,NC District Court Judge District 3A Seat 2,Lee Teague,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE-20181106-Style003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ORANGE-20181106-Style003-GEN.pdf,NC District Court Judge District 15B Seat 1,Joseph Moody (Joe) Buckner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20181106-Style022-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/FORSYTH-20181106-Style022-GEN.pdf,NC District Court Judge District 21 Seat 1,Denise S. Hartsfield,,,,,NC District Court Judge District 21 Seat 2,Lisa V. Menefee,,,,,NC District Court Judge District 21 Seat 3,Theodore (Ted) Kazakos,,,,,NC District Court Judge District 21 Seat 4,George A. Bedsworth,,,,,,,,,,,,,,,,
WARREN-20181106-Style007-SHOCCO-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/WARREN-20181106-Style007-SHOCCO-GEN.pdf,NC Superior Court Judge District 9 Seat 1,Steven E. Hight,Paul Ross,Lawrence Tickle,John Dunlow,,NC Superior Court Judge District 9 Seat 2,Cindy Sturges,Mitchell Styers,Carolyn J. Thompson,,,NC District Court Judge District 9B Seat 1,Ben Hunter,"Michael W. Putney, Jr.",,,,,,,,,,,,,,,,,,,,,
RANDOLPH-20181106-Style015-GRANT-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/RANDOLPH-20181106-Style015-GRANT-GEN.pdf,NC Superior Court Judge District 19B Seat 1,James P. (Jimmy) Hill,,,,,NC District Court Judge District 19B Seat 1,Sarah Neely Lanier,J. Brooke Schmidly,Andrew W. Davis,,,NC District Court Judge District 19B Seat 3,Lee Gavin,,,,,NC District Court Judge District 19B Seat 4,Scott Etheridge,,,,,,,,,,,,,,,,
ANSON-20181106-Style001-ANSONVILLE-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ANSON-20181106-Style001-ANSONVILLE-GEN.pdf,NC District Court Judge District 16A Seat 1,Chris Rhue,,,,,NC District Court Judge District 16A Seat 3,Chevonne Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWAN-20181106-Style025-LANDIS-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROWAN-20181106-Style025-LANDIS-GEN.pdf,NC Superior Court Judge District 19C Seat 1,Anna Mills Wagoner,,,,,NC District Court Judge District 19C Seat 1,Kevin Eddinger,,,,,NC District Court Judge District 19C Seat 2,Beth Dixon,,,,,NC District Court Judge District 19C Seat 3,Charlie Brown,,NC District Court Judge District 19C Seat 4,James Randolph,,,,,,,,,,,,,
