pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,office10,candidate10_1,office11,candidate11_1,office12,candidate12_1,office13,candidate13_1
CRAVEN-20241105-SAMPLE-E-B0015-07_JASPER.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/CRAVEN-20241105-SAMPLE-E-B0015-07_JASPER.pdf,NC Superior Court Judge District 4 Seat 3,Augustus (Gus) Willis,,,NC District Court Judge District 4 Seat 6,Debra Massie,,NC District Court Judge District 4 Seat 1,Paul J. Delamar,,NC District Court Judge District 4 Seat 2,Andrew Wigmore,,NC District Court Judge District 4 Seat 3,W. David McFadyen,,NC District Court Judge District 4 Seat 4,L. Walter Mills,,NC District Court Judge District 4 Seat 5,Alex Pully,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0046.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0046.pdf,NC District Court Judge District 10D Seat 4,Rhonda Graham Young,,,NC District Court Judge District 10D Seat 5,Blair Williams,,NC District Court Judge District 10D Seat 3 Unexpired term ending 2027,Karl Roth,Kevin Boxberger,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0052.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0052.pdf,NC District Court Judge District 10D Seat 4,Rhonda Graham Young,,,NC District Court Judge District 10D Seat 5,Blair Williams,,NC District Court Judge District 10D Seat 3 Unexpired term ending 2027,Karl Roth,Kevin Boxberger,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0067-121__01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0067-121__01.pdf,NC District Court Judge District 31 Seat 11,David E. Sipprell,,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,,,,,,,,,,,
MECKLENBURG-20241105-SAMPLE-E-B0058.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MECKLENBURG-20241105-SAMPLE-E-B0058.pdf,NC District Court Judge District 26 Seat 1,Shante' Burke-Hayer,,,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,Keith Smith,,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MECKLENBURG-20241105-SAMPLE-E-B0064.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MECKLENBURG-20241105-SAMPLE-E-B0064.pdf,NC District Court Judge District 26 Seat 1,Shante' Burke-Hayer,,,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,Keith Smith,,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
FORSYTH-20241105-SAMPLE-E-B0176-909__03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0176-909__03.pdf,NC Superior Court Judge District 31C Seat 1,Eric Morgan,,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0085.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0085.pdf,NC Superior Court Judge District 10C Seat 1,Stephanie Davis,Becky Holt,Sean A. B. Cole,NC District Court Judge District 10D Seat 4,Rhonda Graham Young,,NC District Court Judge District 10D Seat 5,Blair Williams,,NC District Court Judge District 10D Seat 3 Unexpired term ending 2027,Karl Roth,Kevin Boxberger,,,,,,,,,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0091.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0091.pdf,NC District Court Judge District 10A Seat 2,Vartan A. (Woofer) Davidian III,,,NC District Court Judge District 10A Seat 3,Cindy Kenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20241105-SAMPLE-E-B0070.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MECKLENBURG-20241105-SAMPLE-E-B0070.pdf,NC District Court Judge District 26 Seat 1,Shante' Burke-Hayer,,,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,Keith Smith,,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
CALDWELL-20241105-SAMPLE-E-B0001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/CALDWELL-20241105-SAMPLE-E-B0001.pdf,NC District Court Judge District 36 Seat 8,Scott D. Conrad,,,NC District Court Judge District 36 Seat 9,Richard S. Holloway,,NC District Court Judge District 36 Seat 10,Andrea C. Plyler,,NC District Court Judge District 36 Seat 6 Unexpired term ending 2027,Scott M. Lippert,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0120-505_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0120-505_.pdf,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,,,,
ONSLOW-20241105-SAMPLE-V-B0005-EN03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/ONSLOW-20241105-SAMPLE-V-B0005-EN03.pdf,NC District Court Judge District 5 Seat 9,Walter Bateman,Republican Party,,NC District Court Judge District 5 Seat 10,Melissa Blizzard Stevens,,NC District Court Judge District 5 Seat 3,Christopher J. Welch,Republican Party,NC District Court Judge District 5 Seat 4,Michael C. Surles,Republican Party,NC District Court Judge District 5 Seat 5,Robert H. Gilmore,Republican Party,NC District Court Judge District 5 Seat 6,"James L. (Jim) Moore, Jr.",Republican Party,NC District Court Judge District 5 Seat 7,William Shanahan,Republican Party,NC District Court Judge District 5 Seat 8,Billy Sutton,,,,,,,,,,
MOORE-20241105-SAMPLE-E-B0003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MOORE-20241105-SAMPLE-E-B0003.pdf,NC Superior Court Judge District 29 Seat 2,Warren McSweeney,,,NC District Court Judge District 29 Seat 3,Skipper Creed,,NC District Court Judge District 29 Seat 4,Steve Bibey,,NC District Court Judge District 29 Seat 5 Unexpired term ending 2027,Yohan Namkung,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON-20241105-SAMPLE-E-B0001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WASHINGTON-20241105-SAMPLE-E-B0001.pdf,NC Superior Court Judge District 2 Seat 2,Seth Edwards,,,NC District Court Judge District 2 Seat 3,Jonathan Jones,Jason Williams,NC District Court Judge District 2 Seat 4,Keith B. Mason,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0078-132__07.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0078-132__07.pdf,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,,,,
TRANSYLVANIA-20241105-SAMPLE-E-B0013-TC1_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/TRANSYLVANIA-20241105-SAMPLE-E-B0013-TC1_.pdf,NC District Court Judge District 42 Seat 1,James Marshall,,,NC District Court Judge District 42 Seat 2,Gene Johnson,,NC District Court Judge District 42 Seat 3,Monica Jean Gillett,Lora T. Baker,NC District Court Judge District 42 Seat 4,Kimberly Gasperson-Justice,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0014-031__05.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0014-031__05.pdf,NC Superior Court Judge District 31C Seat 1,Eric Morgan,,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,,,,,,,,,
GUILFORD-20241105-SAMPLE-E-B0061.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/GUILFORD-20241105-SAMPLE-E-B0061.pdf,NC District Court Judge District 24 Seat 3,Ashley Watlington-Simms,,,NC District Court Judge District 24 Seat 13,Brian Tomlin,,NC District Court Judge District 24 Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 24 Seat 14,Tomakio S. Gause,,NC District Court Judge District 24 Seat 5,Walter W. (Trip) Baker III,,NC District Court Judge District 24 Seat 6,Michelle Fletcher,,NC District Court Judge District 24 Seat 7,Angela C. Foster,,NC District Court Judge District 24 Seat 8,Angela Bullard (Angie) Fox,NC District Court Judge District 24 Seat 9,Tabatha Holliday,NC District Court Judge District 24 Seat 10,Charlene Y. Armstrong,NC District Court Judge District 24 Seat 11,Bill Davis,NC District Court Judge District 24 Seat 12,Kelvin Smith,,
SURRY-20241105-SAMPLE-E-B0002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/SURRY-20241105-SAMPLE-E-B0002.pdf,NC Superior Court Judge District 23 Seat 1,Angela B. Puckett,,,NC District Court Judge District 23 Seat 4,Bill Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0054-084__03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0054-084__03.pdf,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,,,,
GUILFORD-20241105-SAMPLE-E-B0049.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/GUILFORD-20241105-SAMPLE-E-B0049.pdf,NC Superior Court Judge District 24E Seat 1,Tonia A. Cutchin,,,NC District Court Judge District 24 Seat 12,Kelvin Smith,,NC District Court Judge District 24 Seat 3,Ashley Watlington-Simms,,NC District Court Judge District 24 Seat 13,Brian Tomlin,,NC District Court Judge District 24 Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 24 Seat 14,Tomakio S. Gause,,NC District Court Judge District 24 Seat 5,Walter W. (Trip) Baker III,,NC District Court Judge District 24 Seat 6,Michelle Fletcher,NC District Court Judge District 24 Seat 7,Angela C. Foster,NC District Court Judge District 24 Seat 8,Angela Bullard (Angie) Fox,NC District Court Judge District 24 Seat 9,Tabatha Holliday,NC District Court Judge District 24 Seat 10,Charlene Y. Armstrong,NC District Court Judge District 24 Seat 11,Bill Davis
WAKE-20241105-SAMPLE-E-B0132.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0132.pdf,NC District Court Judge District 10C Seat 1,Mark L. Stevens,,,NC District Court Judge District 10C Seat 2,Christine M. Walczyk,,NC District Court Judge District 10C Seat 3,Renee Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0126.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0126.pdf,NC District Court Judge District 10E Seat 3,Crystal Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0026-043__05.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0026-043__05.pdf,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0127.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0127.pdf,NC District Court Judge District 10E Seat 3,Crystal Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20241105-SAMPLE-V-B0003-CL10.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/ONSLOW-20241105-SAMPLE-V-B0003-CL10.pdf,NC District Court Judge District 5 Seat 9,Walter Bateman,Republican Party,,NC District Court Judge District 5 Seat 10,Melissa Blizzard Stevens,,NC District Court Judge District 5 Seat 3,Christopher J. Welch,Republican Party,NC District Court Judge District 5 Seat 4,Michael C. Surles,Republican Party,NC District Court Judge District 5 Seat 5,Robert H. Gilmore,Republican Party,NC District Court Judge District 5 Seat 6,"James L. (Jim) Moore, Jr.",Republican Party,NC District Court Judge District 5 Seat 7,William Shanahan,Republican Party,NC District Court Judge District 5 Seat 8,Billy Sutton,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0133.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0133.pdf,NC District Court Judge District 10B Seat 2,Ashleigh S. Parker,,,NC District Court Judge District 10B Seat 3,Julie Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0160-808__01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0160-808__01.pdf,NC District Court Judge District 31 Seat 11,David E. Sipprell,,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,,,,,,,,,,,
ALAMANCE-20241105-SAMPLE-E-B0001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/ALAMANCE-20241105-SAMPLE-E-B0001.pdf,NC District Court Judge District 17 Seat 2,"Larry Brown, Jr.",,,NC District Court Judge District 17 Seat 3,Doug Green,Craig Turner,NC District Court Judge District 17 Seat 4,Kathryn Whitaker (Katie) Overb,,NC District Court Judge District 17 Seat 5,Meredith Tuck Edwards,Natalie R. Jones,NC District Court Judge District 17 Seat 1 Unexpired term ending 2027,"R. Bryan Norris, Jr.",Bryan Ray,,,,,,,,,,,,,,,,,,
WAYNE-20241105-SAMPLE-E-B0002-01_01_07.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAYNE-20241105-SAMPLE-E-B0002-01_01_07.pdf,NC Superior Court Judge District 9B Seat 1,Ericka James,Billy Strickland II,,NC District Court Judge District 9 Seat 2,Jon Sargeant,,NC District Court Judge District 9 Seat 3,Curtis Stackhouse,,NC District Court Judge District 9 Seat 4,Chris Rogerson,,NC District Court Judge District 9 Seat 5,Justin Lee Minshew,,NC District Court Judge District 9 Seat 6,Annette W. Turik,,,,,,,,,,,,,,,,
GUILFORD-20241105-SAMPLE-E-B0048.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/GUILFORD-20241105-SAMPLE-E-B0048.pdf,NC Superior Court Judge District 24E Seat 1,Tonia A. Cutchin,,,NC District Court Judge District 24 Seat 12,Kelvin Smith,,NC District Court Judge District 24 Seat 3,Ashley Watlington-Simms,,NC District Court Judge District 24 Seat 13,Brian Tomlin,,NC District Court Judge District 24 Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 24 Seat 14,Tomakio S. Gause,,NC District Court Judge District 24 Seat 5,Walter W. (Trip) Baker III,,NC District Court Judge District 24 Seat 6,Michelle Fletcher,NC District Court Judge District 24 Seat 7,Angela C. Foster,NC District Court Judge District 24 Seat 8,Angela Bullard (Angie) Fox,NC District Court Judge District 24 Seat 9,Tabatha Holliday,NC District Court Judge District 24 Seat 10,Charlene Y. Armstrong,NC District Court Judge District 24 Seat 11,Bill Davis
ROWAN-20241105-SAMPLE-E-B0011-11_FRANKLIN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/ROWAN-20241105-SAMPLE-E-B0011-11_FRANKLIN.pdf,NC District Court Judge District 27 Seat 5,Ashley Andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0081-135__05.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0081-135__05.pdf,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,NC District Court Judge District 31 Seat 11,David E. Sipprell,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,,,,,,,,,,,,
SURRY-20241105-SAMPLE-E-B0003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/SURRY-20241105-SAMPLE-E-B0003.pdf,NC Superior Court Judge District 23 Seat 1,Angela B. Puckett,,,NC District Court Judge District 23 Seat 4,Bill Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20241105-SAMPLE-E-B0060.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/GUILFORD-20241105-SAMPLE-E-B0060.pdf,NC District Court Judge District 24 Seat 3,Ashley Watlington-Simms,,,NC District Court Judge District 24 Seat 13,Brian Tomlin,,NC District Court Judge District 24 Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 24 Seat 14,Tomakio S. Gause,,NC District Court Judge District 24 Seat 5,Walter W. (Trip) Baker III,,NC District Court Judge District 24 Seat 6,Michelle Fletcher,,NC District Court Judge District 24 Seat 7,Angela C. Foster,,NC District Court Judge District 24 Seat 8,Angela Bullard (Angie) Fox,NC District Court Judge District 24 Seat 9,Tabatha Holliday,NC District Court Judge District 24 Seat 10,Charlene Y. Armstrong,NC District Court Judge District 24 Seat 11,Bill Davis,NC District Court Judge District 24 Seat 12,Kelvin Smith,,
CABARRUS-20241105-SAMPLE-E-B0001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/CABARRUS-20241105-SAMPLE-E-B0001.pdf,NC District Court Judge District 25 Seat 5,Nate Knust,,,NC District Court Judge District 25 Seat 6,Michael G. Knox,,NC District Court Judge District 25 Seat 3 Unexpired term ending 2027,Kimberly Herrick,Juanita Boger-Allen,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0165-903__01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0165-903__01.pdf,NC District Court Judge District 31 Seat 11,David E. Sipprell,,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,,,,,,,,,,,
MOORE-20241105-SAMPLE-E-B0002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MOORE-20241105-SAMPLE-E-B0002.pdf,NC Superior Court Judge District 29 Seat 2,Warren McSweeney,,,NC District Court Judge District 29 Seat 3,Skipper Creed,,NC District Court Judge District 29 Seat 4,Steve Bibey,,NC District Court Judge District 29 Seat 5 Unexpired term ending 2027,Yohan Namkung,,,,,,,,,,,,,,,,,,,,,,
HERTFORD-20241105-SAMPLE-E-B0012-UN_UNION.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/HERTFORD-20241105-SAMPLE-E-B0012-UN_UNION.pdf,NC District Court Judge District 7 Seat 1,W. Rob Lewis II,,,NC District Court Judge District 7 Seat 2,Teresa Raquel Robinson Freema,,NC District Court Judge District 7 Seat 3,Takiya Lewis Blalock,,NC District Court Judge District 7 Seat 4,Jamal Summey,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20241105-SAMPLE-E-B0088-206__01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/FORSYTH-20241105-SAMPLE-E-B0088-206__01.pdf,NC District Court Judge District 31 Seat 11,David E. Sipprell,,,NC District Court Judge District 31 Seat 5,Camille Banks-Prince,,NC District Court Judge District 31 Seat 6,Artrese Ziglar,,NC District Court Judge District 31 Seat 7,Carrie Vickery,,NC District Court Judge District 31 Seat 8,Whit Davis,,NC District Court Judge District 31 Seat 9,Kristin Kelly Broyles,,NC District Court Judge District 31 Seat 10,Shonna R. Alexander,Erin Brock,,,,,,,,,,,,
WAYNE-20241105-SAMPLE-E-B0040-18_18_03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAYNE-20241105-SAMPLE-E-B0040-18_18_03.pdf,NC Superior Court Judge District 9B Seat 1,Ericka James,Billy Strickland II,,NC District Court Judge District 9 Seat 2,Jon Sargeant,,NC District Court Judge District 9 Seat 3,Curtis Stackhouse,,NC District Court Judge District 9 Seat 4,Chris Rogerson,,NC District Court Judge District 9 Seat 5,Justin Lee Minshew,,NC District Court Judge District 9 Seat 6,Annette W. Turik,,,,,,,,,,,,,,,,
WAKE-20241105-SAMPLE-E-B0090.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/WAKE-20241105-SAMPLE-E-B0090.pdf,NC Superior Court Judge District 10C Seat 1,Stephanie Davis,Becky Holt,Sean A. B. Cole,NC District Court Judge District 10D Seat 4,Rhonda Graham Young,,NC District Court Judge District 10D Seat 5,Blair Williams,,NC District Court Judge District 10D Seat 3 Unexpired term ending 2027,Karl Roth,Kevin Boxberger,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20241105-SAMPLE-E-B0071.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2024-11-05/MECKLENBURG-20241105-SAMPLE-E-B0071.pdf,NC District Court Judge District 26 Seat 1,Shante' Burke-Hayer,,,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,Keith Smith,,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
