pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,candidate11_2,office12,candidate12_1
FORSYTH-20161108-Style003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/FORSYTH-20161108-Style003.pdf,NC Superior Court Judge District 21C,Eric Morgan,Jonathan Scott Dills,,NC District Court Judge District 21,Gordon A. Miller,,NC District Court Judge District 21,Victoria L. (Tori) Roemer,,NC District Court Judge District 21,David E. Sipprell,,NC District Court Judge District 21,Camille Banks-Payne,,NC District Court Judge District 21,Lawrence J. (Larry) Fine,,NC District Court Judge District 21,Carrie F. Vickery,Aaron J. Berlin,NC District Court Judge District 21,Laurie L. Hutchins,,,,,,,,,,,,
FORSYTH-20161108-Style017.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/FORSYTH-20161108-Style017.pdf,NC District Court Judge District 21,Camille Banks-Payne,,,NC District Court Judge District 21,Lawrence J. (Larry) Fine,,NC District Court Judge District 21,Carrie F. Vickery,Aaron J. Berlin,NC District Court Judge District 21,Laurie L. Hutchins,,NC District Court Judge District 21,Gordon A. Miller,,NC District Court Judge District 21,Victoria L. (Tori) Roemer,,NC District Court Judge District 21,David E. Sipprell,,,,,,,,,,,,,,,
CLAY-20161108-Style008-TUSQUITTEE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CLAY-20161108-Style008-TUSQUITTEE.pdf,NC District Court Judge District 30,Richard K. Walker,,,NC District Court Judge District 30,Monica Hayes Leslie,,NC District Court Judge District 30,Tessa Shelton Sellers,Kimberly N. Carpenter,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAVEN-20161108-Style010-CLARKS.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CRAVEN-20161108-Style010-CLARKS.pdf,NC Superior Court Judge District 3B,Robert J. McAfee,Josh Willey,,NC District Court Judge District 3B,Clinton D. Rowe,,NC District Court Judge District 3B,Karen A. Alexander,,NC District Court Judge District 3B,Peter Mack,,NC District Court Judge District 3B,W. David McFadyen III,,NC District Court Judge District 3B,Walter Mills,,NC District Court Judge District 3B,Paul M. Quinn,,,,,,,,,,,,,,,
ROWAN-20161108-Style009-FAITH.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/ROWAN-20161108-Style009-FAITH.pdf,NC District Court Judge District 19C,Marshall Bickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITT-20161108-Style032.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/PITT-20161108-Style032.pdf,NC Superior Court Judge District 3A,Jeff Foster,,,NC District Court Judge District 3A,G. Galen Braddy,,NC District Court Judge District 3A,Brian DeSoto,,NC District Court Judge District 3A,Wendy Hazelton,Daniel Hines Entzminger,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20161108-Style034.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAKE-20161108-Style034.pdf,NC District Court Judge District 10,Dan Nagle,Walter Rand,,NC District Court Judge District 10,Robert B. Rader,,NC District Court Judge District 10,Debra Sasser,,NC District Court Judge District 10,Christine M. Walczyk,,NC District Court Judge District 10,Marty E. Miller,Anna Elena Worley,NC District Court Judge District 10,Bryant Paris III,Monica M. Bousman,NC District Court Judge District 10,Jacqueline L. Brewer,,NC District Court Judge District 10,Eric Craig Chasse,,NC District Court Judge District 10,Lori G. Christian,,NC District Court Judge District 10,V.A. (Woofer) Davidian III,,NC District Court Judge District 10,Jefferson G. Griffin,,,
WAKE-20161108-Style020.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAKE-20161108-Style020.pdf,NC Superior Court Judge District 10C,Rebecca (Becky) Holt,Michael Denning,,NC District Court Judge District 10,Lori G. Christian,,NC District Court Judge District 10,V.A. (Woofer) Davidian III,,NC District Court Judge District 10,Jefferson G. Griffin,,NC District Court Judge District 10,Dan Nagle,Walter Rand,NC District Court Judge District 10,Robert B. Rader,,NC District Court Judge District 10,Debra Sasser,,NC District Court Judge District 10,Christine M. Walczyk,,NC District Court Judge District 10,Marty E. Miller,Anna Elena Worley,NC District Court Judge District 10,Bryant Paris III,Monica M. Bousman,NC District Court Judge District 10,Jacqueline L. Brewer,,NC District Court Judge District 10,Eric Craig Chasse
RANDOLPH-20161108-Style025-STALEY.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/RANDOLPH-20161108-Style025-STALEY.pdf,NC District Court Judge District 19B,Darren C. Allen,Don (Skipper) Creed,,NC District Court Judge District 19B,James P. (Jimmy) Hill,,NC District Court Judge District 19B,Rob Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITT-20161108-Style026.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/PITT-20161108-Style026.pdf,NC Superior Court Judge District 3A,Jeff Foster,,,NC District Court Judge District 3A,G. Galen Braddy,,NC District Court Judge District 3A,Brian DeSoto,,NC District Court Judge District 3A,Wendy Hazelton,Daniel Hines Entzminger,,,,,,,,,,,,,,,,,,,,,,,
