,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
231,buycycle,de,2021,Canyon,Torque CF 7 | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/torque-cf-7-4,4099 ,5000
232,buycycle,de,2020,Scott,Spark RC 900 World Cup AXS | SRAM XX1 Eagle AXS,new,Crosscountry,1,,L,https://buycycle.com/de/bike/spark-rc-900-world-cup-axs-7,4550 ,7299
233,buycycle,de,2017,Scott,Spark RC 900 World Cup | SRAM X01,new,Crosscountry,1,,L,https://buycycle.com/de/bike/spark-rc-900-world-cup-263d612457c94f,3750 ,4499
234,buycycle,de,2022,Cannondale,Scalpel Hi-MOD Ultimate | SRAM XX1 Eagle AXS,new,Enduro,1,,L,https://buycycle.com/de/bike/scalpel-hi-mod-ultimate-2,7500 ,12499
235,buycycle,de,2021,Scott,Genius 950 | Shimano Deore XT,new,Enduro,1,,S,https://buycycle.com/de/bike/genius-950-6,2500 ,2999
236,buycycle,de,2022,Scott,Ransom 900 Tuned AXS | Other,new,Enduro,1,,M,https://buycycle.com/de/bike/ransom-900-tuned-axs-9,6000 ,9499
237,buycycle,de,2018,Trek,Top Fuel 9.8 SL | SRAM GX Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/top-fuel-98-sl-18,2700 ,5699
238,buycycle,de,2019,Trek,Top Fuel 9.8 SL | SRAM GX Eagle,new,Crosscountry,1,,L,https://buycycle.com/de/bike/top-fuel-98-sl-17,2800 ,5499
239,buycycle,de,2021,CUBE,AMS 100 C:68 SL 29 | Shimano Deore XT,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/ams-100-c68-sl-29-11,2850 ,3749
240,buycycle,de,2021,Nordest,Bardino 2 | Shimano Deore XT,new,Trail,1,,L,https://buycycle.com/de/bike/bardino-2,2500 ,3500
241,buycycle,de,2016,Giant,Talon 27.5 3 | Shimano Alivio,new,Crosscountry,1,,M,https://buycycle.com/de/bike/talon-275-3-3,400 ,700
242,buycycle,de,2000,Univega,RAM 900 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/ram-900-1,375 ,2000
243,buycycle,de,2017,Kona,Operator DL | Other SRAM,new,Downhill,1,,L,https://buycycle.com/de/bike/operator-dl-2,1800 ,3999
244,buycycle,de,2017,YT Industries,Capra | SRAM GX,new,Enduro,1,,M,https://buycycle.com/de/bike/capra-30,1450 ,2799
245,buycycle,de,2022,Orbea,OIZ M20 TR | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/oiz-m20-tr-16,2800 ,4099
246,buycycle,de,2021,Canyon,Exceed CF 7 WMN | SRAM GX Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/exceed-cf-7-wmn-2,2500 ,2799
