url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,31st Judicial District (Lehigh County),"WALDRON, KELLY B.",(DEM),"24,219","SNYDER, JERRY",(DEM),"20,572","JOHNSON, BRIAN",(REP),"23,694","ANTHONY, JIM",(REP),"21,343",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"KENNEY, CHAD F.",(D/R),"98,918","DOZOR, BARRY C.",(D/R),"98,558","COLL, MICHAEL F.X.",(D/R),"96,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,35th Judicial District (Mercer County),"ST. JOHN, CHRISTOPHER J.",(D/R),"19,059","MIRIZIO, STEPHEN J.",(DEM),"11,164","REED, JOHN C.",(REP),"14,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,36th Judicial District (Beaver County,"MANCINI, RICHARD",(D/R),"30,604","DOHANICH, JOHN P.",(D/R),"25,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"O'NEILL, STEVEN T.",(D/R),"128,879","KAUFMAN, MADELEINE R.",(DEM),"72,474","ROGERS, THOMAS P.",(REP),"77,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,40th Judicial District (Indiana County),"HANNA, CAROL",(DEM),"11,040","CLARK, MICHAEL T.",(REP),"9,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,43rd Judicial District (Monroe County),"WISE, JENNIFER ANN",(DEM),"7,549","PAZUHANICH, MARK P.",(REP),"9,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,46th Judicial District (Clearfield County),"CHERRY, PAUL E.",(D/R),"16,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,48th Judicial District (McKean County),"YODER, JOHN H.",(REP),"6,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,58th Judicial District (Mifflin County),"SEARER, TIMOTHY S.",(D/R),"7,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,59th Judicial District (Cameron & Elk Counties),"MASSON, RICHARD A.",(D/R),"9,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,60th Judicial District (Pike County),"KAMEEN, JOSEPH",(REP),"5,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
