url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,votes_yes14,votes_no14,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18,candidate19,votes_yes19,votes_no19
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,21st Judicial District (Schuylkill County),"GOODMAN, JAMES P",(R/D),"27,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,26th Judicial District (Columbia & Montour Counties),"NORTON, GARY",(R/D),"11,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,27th Judicial District (Washington County),"TURTURICE, LANE",(REP),"19,505","GILMAN, GARY",(DEM),"22,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,31st Judicial District (Lehigh County),"REICHLEY, DOUGLAS G",(REP),"24,275","MCCARTHY, DANIEL K",(DEM),"18,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"CANNON, CHRISTINE FIZZANO",(R/D),"86,475","NICHOLS, NATHANIEL C",(R/D),"83,531","GREEN, G MICHAEL",(REP),"55,357","CAPUZZI, JOHN P",(REP),"53,090","ANGELOS, SPIROS E",(REP),"46,496","HECKERT BIKIN, SALLY ANN",(DEM),"38,866","SCHLEIGH, MICHAEL F",(DEM),"37,331","DEMARCO, G LAWRENCE",(DEM),"36,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,35th Judicial District (Mercer County),"ACKER, PETER C",(REP),"11,707","YEATTS, ROBERT G",(DEM),"12,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"COGGINS, MAUREEN",(REP),"75,074","CLIFFORD, DAN",(REP),"74,843","HAAZ, RICHARD",(DEM),"82,071","AUSTIN, CHERYL",(DEM),"80,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,40th Judicial District (Indiana County),"CLARK, MICHAEL T",(REP),"8,236","BIANCO, THOMAS M",(DEM),"8,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,43rd Judicial District (Monroe County),"WILLIAMSON, DAVID",(R/D),"14,932","HIGGINS, STEVE",(R/D),"14,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,48th Judicial District (McKean County),"HAUSER, CHRIS",(R/D),"5,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
