url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14,candidate15,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"CAMPBELL, MARY ANN",(R/D),"48,186","PARISI, THOMAS G.",(R/D),"45,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,30th Judicial District (Crawford County),"SPATARO, JOHN F.",(R/D),"14,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"KELLY, KEVIN F.",(R/D),"88,034","DURHAM, KATHRYNANN",(REP),"60,192","KEMETHER, NOREEN P.",(DEM),"30,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,36th Judicial District (Beaver County,"COLAVINCENZO, J. PHILIP",(REP),"16,021","KWIDIS, C. GUS",(DEM),"22,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,37th Judicial District (Forest & Warren Counties),"MORGAN, WILLIAM F.",(R/D),"8,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"DICKMAN, TOBY LYNN",(REP),"70,780","TILSON, ARTHUR R.",(REP),"68,859","BRANCA, THOMAS",(REP),"68,651","HOLLAND, BARBARA J.",(DEM),"50,258","D'AMICO, NATHANIEL P.",(DEM),"46,592","SHEEHAN, GEORGE D.",(DEM),"44,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"MAZZONI, ROBERT A.",(R/D),"49,710","GEROULO, VITO P.",(REP),"30,887","WALSH, MARK",(DEM),"30,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,50th Judicial District (Butler County),"YEAGER, S. MICHAEL",(R/D),"25,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,51st Judicial District (Adams County),"GEORGE, MICHAEL A.",(R/D),"12,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,53rd Judicial District (Lawrence County),"HODGE, JOHN W.",(REP),"12,494","PICCIONE, THOMAS M.",(DEM),"13,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,54th Judicial District (Jefferson County),"WALLISCH, MARK A.",(REP),"6,301","FORADORA, JOHN HENRY",(DEM),"6,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,56th Judicial District (Carbon County),"NANOVIC, ROGER N.",(R/D),"11,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),1st Judicial District (Philadelphia County),"ABRAMSON, HAL",,,"BROWN, JOAN A.",,,"DEMPSEY, THOMAS",,,"DINUBILE, VICTOR J.",,,"FIELD, MYRNA P.",,,"GLAZER, GARY S.",,,"KAFRISSEN, ARTHUR",,,"LAZARUS, ANNE E.",,,"LYNN, JAMES MURRAY",,,"MAIER, EUGENE EDW. J.",,,"MAZZOLA, WILLIAM J.",,,"NEW, ARNOLD L.",,,"PANEPINTO, PAUL P.",,,"46,451","16,134","49,739","15,176","47,915","14,708","46,106","15,087","46,160","15,013","43,946","15,341","42,770","16,470","46,173","14,757","41,071","19,255","44,197","14,968","44,444","14,187","42,800","14,748","43,535","15,069","PAPALINI, JOSEPH I.","41,747","14,675","QUINONES ALEJANDRO, NITZA I.","41,574","15,022","SMITH, GREGORY E.","43,601","14,150","SNITE, ALBERT JOHN","40,699","14,607","WOLF, FLORA BARTH","43,988","15,056"
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"ALLISON, PAUL K.",,,"KENDERDINE, HENRY",,,"PEREZOUS, MICHAEL J.",,,"STENGEL, LAWRENCE F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,910","5,815","23,392","5,469","24,380","5,189","24,784","5,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),4th Judicial District (Tioga County),"DALTON, ROBERT E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,387","1,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),5th Judicial District (Allegheny County),"CASHMAN, DAVID R.",,,"CRAIG, CHERYL ALLEN",,,"DURKIN, KATHLEEN A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,606","27,559","96,050","26,272","100,395","24,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),6th Judicial District (Erie County),"ANTHONY, FRED P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,982","5,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"BIEHN, KENNETH G.",,,"MCANDREWS, R. BARRY",,,"RUFE, JOHN J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,538","9,200","33,258","11,706","35,242","10,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),9th Judicial District (Cumberland County),"OLER, J. WESLEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,516","5,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"ACKERMAN, DANIEL J.",,,"MCCORMICK, RICHARD E.",,,"PEZZE, DEBRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,996","7,328","28,373","7,798","27,485","9,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),11th Judicial District (Luzerne County),"AUGELLO, JOSEPH M.",,,"LOKUTA, ANN H.",,,"MUNDY, HUGH F.",,,"MUROSKI, CHESTER B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,208","11,369","24,040","17,952","32,317","9,211","30,471","11,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"KLEINFELTER, JOSEPH H.",,,"TURGEON, JEANNINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,650","6,274","22,643","7,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"OTT, PAULA FRANCISCO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,689","7,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),17th Judicial District (Snyder & Union Counties),"WOELFEL, HAROLD F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,990","7,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"BLACKWELL, PENNY L.",,,"BRILLHART, MICHAEL J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,692","5,693","22,947","5,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),21st Judicial District (Schuylkill County),"DOLBIN, CYRUS PALMER",,,"STINE, D. MICHAEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,443","7,869","30,357","7,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"SCHMEHL, PETER W.",,,"SPRECHER, JEFFREY K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,655","8,803","31,830","8,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),24th Judicial District (Blair County),"CALLAN, NORMAN D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,426","11,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas (Retention),25th Judicial District (Clinton County),"SAXTON, RICHARD N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,856","1,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
