url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,candidate10,votes_yes10,votes_no10,candidate11,votes_yes11,votes_no11,candidate12,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),5th Judicial District (Allegheny County),"FOLINO, RONALD W",,,"MULLIGAN, KATHLEEN R",,,"O'TOOLE, LAWRENCE J",,,"RANGOS, JILL E",,,"WARD, CHRISTINE",,,"ZOTTOLA, JOHN ANTHONY",,,,,,,,,,,,"96,120","39,512","98,445","37,893","99,199","37,677","97,811","38,767","102,022","35,671","98,506","38,960",,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"FELICIANI, CHRISTOPHER A",,,,,,,,,,,,,,,,,,,,,,,,,,,"36,367","15,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"EVANS, SCOTT ARTHUR",,,"HOOVER, TODD A",,,"LEWIS, RICH",,,,,,,,,,,,,,,,,,,,,"23,356","9,660","25,659","8,139","26,174","7,927",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"CODY, JACQUELINE CARROLL",,,"GRIFFITH, EDWARD",,,"HALL, JOHN L",,,"MACELREE, JAMES P II",,,,,,,,,,,,,,,,,,"42,312","11,482","38,527","13,119","39,134","12,783","40,511","13,118",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"BORTNER, MICHAEL E",,,"KELLEY, TOM",,,,,,,,,,,,,,,,,,,,,,,,"32,659","11,759","32,049","12,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"BUCCI, JAMES M",,,,,,,,,,,,,,,,,,,,,,,,,,,"21,778","9,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),24th Judicial District (Blair County),"DOYLE, ELIZABETH A",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,614","2,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"DOZOR, BARRY C",,,"JENKINS, PATRICIA H",,,"KENNEY, CHAD F",,,,,,,,,,,,,,,,,,,,,"40,454","15,840","42,240","14,393","40,229","15,180",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),35th Judicial District (Mercer County),"ST JOHN, CHRISTOPHER J",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,355","3,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),36th Judicial District (Beaver County,"MANCINI, RICHARD",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,486","4,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),38th Judicial District (Montgomery County),"CARPENTER, WILLIAM R",,,"FURBER, WILLIAM J JR",,,"O'NEILL, STEVEN T",,,"ROGERS, THOMAS P",,,,,,,,,,,,,,,,,,"51,206","16,201","49,619","16,446","50,529","15,997","50,460","16,025",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas (Retention),39th Judicial District (Franklin & Fulton Counties),"HERMAN, DOUGLAS W",,,,,,,,,,,,,,,,,,,,,,,,,,,"14,124","3,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
