url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,47th Judicial District (Cambria County),"SLOAN, TIMOTHY J",(DEM),"14,828","CARBONARA, MICHAEL A",(D/R),"16,791","FORDHAM, FORREST B III",(REP),"19,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,49th Judicial District (Centre County),"RATER, JULIA R",(D/R),"32,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,50th Judicial District (Butler County),"PALUMBI, MAURA L",(D/R),"40,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,52nd Judicial District (Lebanon County),"RYLAND-TANNER, MEGAN ELIZABETH",(DEM),"12,624","BRIGHTBILL, DONNA LONG",(REP),"16,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,58th Judicial District (Mifflin County),"REED, JONATHAN",(D/R),"7,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"SPAHN, MERRILL M JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,441","30,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"SLETVOLD, JENNIFER R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,996","23,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"FRITSCH, C THEODORE JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,930","63,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"BILIK-DEFAZIO, MEAGAN",,,"FELICIANI, CHRISTOPHER A",,,,,,,,,,,,,,,,,,,,,,,,,,,"58,972","21,156","57,940","21,218",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"EVANS, SCOTT ARTHUR",,,"TULLY, WILLIAM T",,,,,,,,,,,,,,,,,,,,,,,,,,,"39,100","16,019","38,818","16,573",,,,,,,,,,,,,,,,,,,,,,,,,,,
