url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,26th Judicial District (Columbia & Montour Counties),"JAMES, THOMAS A",(D/R),"9,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,29th Judicial District (Lycoming County),"MCCOY, JOY",(D/R),"14,158","LOVECCHIO, MARC F",(D/R),"13,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,30th Judicial District (Crawford County),"STEVENS, MARK D",(D/R),"12,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"KOONS, NANCY RHOADS",(DEM),"34,992","CARTISANO, LINDA A",(REP),"54,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,37th Judicial District (Forest & Warren Counties),"HAMMOND, GREGORY J",(D/R),"6,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"MURPHY, LOIS",(DEM),"63,523","AUSTIN, CHERYL LYNNE",(DEM),"61,035","WEISS, ANN THORNBURG",(DEM),"60,730","LINDY, JEFF",(DEM),"59,772","HAAZ, RICHARD",(DEM),"59,351","SHIELDS, MICHAEL C",(DEM),"59,333","BERNBAUM, JOEL B",(DEM),"57,822","CARLUCCIO, CAROLYN TORNETTA",(REP),"63,540","PAGE, GARRETT D",(REP),"63,090","DEMCHICK-ALLOY, WENDY",(REP),"62,970","WALL, KELLY",(REP),"62,337","SILOW, GARY S",(REP),"61,460","COONAHAN, PATRICIA E",(REP),"61,344","CRUZ, JOANNA M",(REP),"60,557",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,39th Judicial District (Franklin & Fulton Counties),"MEYERS, SHAWN",(D/R),"15,750","KROM, ANGELA ROSENBERRY",(D/R),"15,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,41st Judicial District (Juniata & Perry Counties),"MUMMAH, KENNETH A",(D/R),"11,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,42nd Judicial District (Bradford County),"BEIRNE, MAUREEN T",(D/R),"7,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,43rd Judicial District (Monroe County),"SIBUM, JENNIFER HARLACHER",(D/R),"15,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
