url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,candidate16,party16,votes16,candidate17,party17,votes17,candidate18,party18,votes18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"BOYD, TINA",(D/R),"52,017","GAVIN, JAMES",(D/R),"44,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,27th Judicial District (Washington County),"PETTIT, JESSE",(D/R),"42,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,30th Judicial District (Crawford County),"SCHULTZ, FRANCIS J",(D/R),"14,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,31st Judicial District (Lehigh County),"SHIELDS, MARALEEN",(DEM),"32,043","COHEN, ZACHARY",(DEM),"32,530","SANTIAGO, RASHID",(DEM),"29,454","CAFFREY, TOM",(REP),"35,302","CAPEHART, TOM",(REP),"33,018","RITTER, DAVID",(REP),"32,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"KRULL, DEBORAH",(DEM),"77,094","MOSS, TINU",(DEM),"72,080","RUGGIERI, MICHAEL",(REP),"65,973","TRUSCELLO, DEBORAH",(REP),"62,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,35th Judicial District (Mercer County),"MCCONNELL JR, WILLIAM G",(DEM),"10,681","MCEWEN, D NEIL",(REP),"13,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"PHILLIPS, A NICOLE",(D/R),"178,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,40th Judicial District (Indiana County),"DOUGHERTY, PATRICK",(DEM),"7,517","FORCE, GINA",(REP),"13,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,41st Judicial District (Juniata & Perry Counties),"BENDER, ANDREW J",(D/R),"12,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"WALSH DEMPSEY, MARY",(DEM),"32,801","ARORA, NISHA",(REP),"17,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
